Province,UID,01/01/1964,01/01/1965,02/01/1966,03/01/1967,05/01/1968,05/01/1969,06/01/1970,07/01/1971,09/01/1972,09/01/1973,10/01/1974,11/01/1975,13/01/1976,13/01/1977,14/01/1978,15/01/1979,17/01/1980,17/01/1981,18/01/1982,19/01/1983,21/01/1984,21/01/1985,22/01/1986,23/01/1987,25/01/1988,25/01/1989,26/01/1990,27/01/1991,29/01/1992,29/01/1993,30/01/1994,31/01/1995,02/02/1996,02/02/1997,03/02/1998,04/02/1999,06/02/2000,06/02/2001,07/02/2002,08/02/2003,10/02/2004,10/02/2005,11/02/2006,12/02/2007,14/02/2008,14/02/2009,15/02/2010,16/02/2011,18/02/2012,18/02/2013,19/02/2014,20/02/2015,22/02/2016,22/02/2017,23/02/2018,24/02/2019,26/02/2020
Jawa Timur,11,9889168.427348614,9268186.93647912,9649667.85855211,9479300.196657512,9211419.410263063,9156375.678234642,9042049.059877664,9027753.335595598,9113488.505388444,9132587.902589532,9168384.860532207,9204212.71254979,9240071.45864229,9275961.098809704,9311881.63305203,9347833.06136927,9383815.38376142,9419828.600228485,9455872.710770462,9491947.715387354,9528053.61407916,9564190.406845875,9600358.093687508,9636556.674604047,9672786.149595518,9709046.518661847,9745337.781803131,9781659.939019328,9818012.990310438,9854396.93567646,9890811.775117394,9927257.508633245,9963734.136224007,10000241.657889685,10036780.073630271,10073349.383445771,10109949.587336186,10146580.685301514,10183242.677341755,10219935.56345691,10256659.343646975,10293414.017911956,10330199.586251851,10367016.048666658,10403863.405156378,10440741.65572101,10477650.800360557,10514590.839075018,10551561.771864388,10588563.598728674,10625596.319667874,10662659.934681984,10699754.44377101,10736879.846934948,10774036.1441738,10811223.335487563,10848441.42087624
Kalimantan Barat,12,464984.3569988979,510499.1169067104,431294.32539630594,354403.6960950601,377582.051578209,328663.53120945906,295755.6367919429,297899.6227044315,284095.4889469264,268843.2355194236,255842.8624219247,242894.36965443072,229997.7572169405,217153.0251094551,204360.17333197664,191619.20188449963,178930.11076702725,166292.89997955854,204907.56952209497,209440.78606130256,222559.2162638472,235729.52679639932,248951.7176589525,262225.78885151056,275551.7403740722,288929.57222663896,302359.2844092101,315840.8769217848,329374.34976436704,342959.70293695125,356596.93643953966,370286.0502721316,384027.0444347288,397819.9189273294,411664.6737499388,425561.308902549,439509.82438516273,453510.2201977816,467562.4963404038,481666.6528130343,495822.68961566605,510030.6067483055,524290.4042109459,538602.0820035898,552965.640126239,567381.0785788918,581848.3973615497,596367.5964742118,610938.6759168816,625561.6356895525,640236.4757922267,654963.1962249066,669741.7969875896,684572.2780802777,699454.6395029702,714388.8812556707,729375.003338372
Kalimantan Selatan,13,1115361.650611961,1133717.1126072537,931477.4497721194,784527.7697496524,788107.8573232053,779363.4898627363,768786.0016308979,768141.8177063237,757430.9380890124,746653.3627789669,745809.0917761743,739191.1110806677,726752.3866924155,724246.9666114256,731674.8508377022,720208.2824379129,715598.1379644263,710921.2977982159,706177.76193926,701367.5303875767,696490.6031431495,691546.9802059962,686536.6615760961,681459.6472534719,676315.9372381,671105.5315300045,665828.4301291635,660484.6330355946,655074.1402492924,649596.9517702445,644053.0675984686,638442.4877339496,632765.2121767029,627021.2409267125,621210.5739839964,615333.2113485325,609389.1530203451,603378.3989994123,597300.9492857512,591156.803879347,584945.9627802146,578668.4259883394,572324.1935037383,565913.2653263889,559435.6414563167,552891.3218934988,546280.3066379529,539602.5956896638,532858.1890486492,526047.0867148876,519169.2886883969,512224.7949691664,505213.6055572103,498135.7204525026,490991.1396550754,483779.8631649024,476501.8909819977
Kalimantan Tengah,14,452091.3948827292,382336.6647547974,395707.4650852879,315590.4625799574,277095.8197228145,239547.6196119403,247755.47843496816,255954.8054882728,264145.600771855,272327.8642857143,280501.5960298509,288666.79600426427,296823.4642089552,304971.6006439234,313111.2053091687,321242.2782046908,329364.8193304904,337478.8286865674,345584.306272921,353681.25208955223,361769.6661364607,369849.5484136464,377920.8989211087,385983.7176588487,394038.0046268659,402083.7598251597,410120.9832537313,418149.6749125801,426169.8348017061,434181.4629211086,442184.5592707889,450179.1238507465,458165.1566609813,466142.6577014925,474111.6269722816,482072.0644733478,490023.9702046908,497967.3441663113,505902.1863582092,513828.4967803842,521746.2754328358,529655.5223155653,537556.2374285717,545448.4207718548,553332.0723454157,561207.1921492539,569073.7801833693,576931.8364477613,584781.360942431,592622.3536673778,600454.8146226018,608278.7438081024,616094.1412238809,623901.0068699366,631699.3407462686,639489.1428528787,647270.413189766
Kalimantan Timur,15,173754.71821391486,163778.36723087574,173863.89597784705,150596.9409622707,147800.8392177224,142412.05498615437,141885.4521571478,138709.58582658326,136190.12932779474,138665.9479941153,137803.70849221185,137770.07748875045,137731.72165039807,137688.64097715472,137640.8354690204,137588.30512599513,137531.04994807893,137469.06993527175,137402.36508757356,137330.93540498446,137254.78088750434,137173.90153513325,137088.29734787124,136997.96832571825,136902.91446867428,136803.1357767393,136698.63224991347,136589.40388819564,136475.45069158782,136356.77266008902,136233.36979369924,136105.2420924185,135972.38955624687,135834.81218518422,135692.50997923056,135545.482938386,135393.73106265045,135237.2543520239,135076.05280650646,134910.126426098,134739.47521079856,134564.0991606082,134383.9982755269,134199.1725555546,134009.62200069128,133815.34661093706,133616.34638629184,133412.62132675564,133204.1714323285,132990.99670301046,132773.09713880136,132550.47273970133,132323.12350571033,132091.04943682835,131854.25053305543,131612.72679439152,131366.47822083664
Kalimantan Utara,16,-216994.2863910327,-227165.52606027195,-214323.31059169417,-235080.307199559,-236912.36310547587,-234034.69170525545,-234998.6391451672,-235966.76029768464,-236939.05516280784,-237915.5237405366,-238896.166030871,-239880.9820338111,-240869.9717493568,-241863.1351775083,-242860.47231826533,-243861.9831716281,-244867.66773759644,-245877.5260161705,-246891.5580073502,-247909.7637111356,-248932.14312752665,-249958.69625652328,-250989.42309812573,-252024.32365233373,-253063.39791914733,-254106.6458985668,-255154.06759059167,-256205.6629952224,-257261.4321124587,-258321.37494230064,-259385.49148474823,-260453.78173980155,-261526.2457074605,-262602.88338772504,-263683.69478059537,-264768.6798860713,-265857.83870415285,-266951.1712348401,-268048.677478133,-269150.3574340316,-270256.21110253583,-271366.2384836457,-272480.4395773613,-273598.8143836824,-274721.3629026094,-275848.0851341418,-276978.9810782801,-278114.05073502404,-279253.2941043735,-280396.7111863286,-281544.30198088946,-282696.066488056,-283852.0047078281,-285012.116640206,-286176.4022851893,-287344.8616427785,-288517.49471297325
Kepulauan Bangka,17,-146085.69316243925,-139870.54295890842,-133809.21635032006,-129781.4658276155,-134766.45941176478,-132448.96867396554,-132355.67005666488,-132242.08077249193,-132108.20082144794,-131954.03020353048,-131779.56891874227,-131584.81696708035,-131369.77434854733,-131134.44106314087,-130878.81711086207,-130602.9024917124,-130306.6972056891,-129990.20125279525,-133554.16463302745,-134497.33734638873,-136070.34439287637,-137623.0607724919,-139155.4864852364,-140667.6215311073,-142159.46591010777,-143631.0196222341,-145082.28266748964,-146513.25504587157,-147923.93675738302,-149314.32780201998,-150684.42817978509,-152034.23789067983,-153363.75693470036,-154672.9853118503,-155961.92302212628,-157230.57006553205,-158478.9264420632,-159706.99215172243,-160914.76719451146,-162102.25157042622,-163269.44527947035,-164416.34832164057,-165542.96069694063,-166649.28240536593,-167735.31344691938,-168801.05382160272,-169846.50352941168,-170871.66257035005,-171876.53094441444,-172861.10865160887,-173825.39569192828,-174769.39206537593,-175693.0977719535,-176596.51281165663,-177479.63718448934,-178342.47089044796,-179185.01392953662
Kepulauan Riau,18,-648368.2395572513,-620509.3071299067,-665206.0710410799,-655168.6428466093,-632852.954896134,-642398.1867940286,-639657.7565245981,-636105.1265694428,-631740.2969285628,-626563.2676019581,-620574.038589629,-613772.6098915751,-606158.9815077964,-597733.1534382933,-588495.1256830655,-578444.8982421128,-567582.4711154357,-555907.8443030339,-543421.0178049075,-530121.9916210565,-516010.7657514807,-501087.34019618033,-485351.7149551553,-468803.8900284056,-451443.8654159313,-433271.6411177323,-414287.2171338088,-394848.6617273184,-374359.1944596648,-353117.20555014623,-330664.4571829731,-307645.3229634088,-283813.98905811977,-259170.45546710605,-233714.72219036773,-207446.78922790472,-180366.65657971715,-152474.32424580486,-123769.79222616798,-94253.06052080644,-63924.12912972024,-32782.99805290916,-829.6672903738461,-28611.27185964085,-62136.77237959034,-96474.4725852649,-131624.37247666367,-167586.4720537873,-204360.7713166356,-241947.27026520853,-280345.96889950614,-319556.8672195283,-359579.96522527514,-400415.26291674667,-442062.7602939429,-484522.4573568637,-527794.3541055091
Lampung,19,2356543.2927303426,2032842.13,2520137.5605016886,2349437.9732465027,2550042.521562952,2372894.578499276,2643243.415753015,2569542.621390304,2597077.211911144,2695384.912565533,2672285.489853473,2690661.812999964,2709031.607830005,2727394.874343596,2745751.612540738,2764101.8224214306,2782445.5039856727,2800782.657233466,2819113.2821648098,2837437.378779703,2855754.9470781474,2874065.9870601427,2892370.4987256867,2910668.4820747827,2928959.937107429,2947244.8638236243,2965523.262223372,2983795.1323066694,3002060.474073516,3020319.2875239146,3038571.572657864,3056817.3294753614,3075056.557976411,3093289.258161011,3111515.4300291603,3129735.073580861,3147948.188816111,3166154.7757349126,3184354.8343372648,3202548.364623166,3220735.366592618,3238915.840245622,3257089.7855821745,3275257.2026022784,3293418.0913059334,3311572.451693137,3329720.2837638925,3347861.5875181984,3365996.3629560536,3384124.61007746,3402246.3288824167,3420361.519370924,3438470.1815429805,3456572.315398589,3474667.9209377463,3492756.9981604554,3510839.547066715
Maluku,20,-27835.08938557004,-49852.55259155616,-45365.09761528166,-41221.38325797212,-72079.58621884987,-71519.43675921646,-79791.94411237849,-88146.44779776389,-79582.94781537307,-95101.44416520456,-94701.9368472606,-100384.4258615405,-106148.91120804366,-111995.39288677074,-117923.87089771991,-123934.34524089382,-130026.81591629153,-136201.2829239128,-142457.7462637574,-148796.20593582583,-155216.66194011632,-161719.11427663156,-168303.56294537074,-174970.00794633312,-181718.4492795193,-188548.8869449292,-195461.32094256065,-202455.75127241755,-209532.1779344981,-216690.60092880187,-223931.02025532955,-231253.43591407908,-238657.84790505347,-246144.25622825185,-253712.66088367385,-261363.06187131748,-269095.4591911888,-276909.8528432799,-284806.2428275946,-292784.62914413284,-300845.0117928985,-308987.3907738839,-317211.76608709275,-325518.13773252524,-333906.5057101852,-342376.8700200648,-350929.23066216777,-359563.5876364986,-368279.9409430489,-377078.2905818226,-385958.6365528199,-394920.9788560451,-403965.3174914894,-413091.6524591575,-422299.983759049,-431590.3113911685,-440962.635355507
Maluku Utara,21,-57494.732803877705,-67301.72107382552,-66060.66976137212,-90309.12960477256,-97224.0681357196,-106630.66013870246,-117139.37447427296,-121350.77194630874,-138404.47455480986,-143502.0322997763,-147737.57518120806,-152855.6751991051,-158056.33235346756,-163339.54664429527,-168705.31807158838,-173153.64663534678,-178684.53233557046,-182297.9751722595,-187993.9751454139,-192772.53225503355,-198633.6465011185,-204577.3178836689,-210603.5464026846,-216712.3320581656,-221903.67485011183,-228177.5747785235,-234034.0318434004,-239973.04604474275,-246640.09506509005,-252042.9285716564,-257528.319214688,-263096.26699418493,-268746.7719101472,-274479.83396257483,-280295.4531514677,-286193.629476826,-292174.3629386496,-298237.6535369384,-304383.5012716928,-310611.9061429122,-316922.86815059715,-323316.3872947473,-329792.4635753628,-336351.0969924438,-342992.28754598985,-349716.03523600136,-356522.3400624782,-363411.2020254203,-370382.6211248278,-377436.5973607005,-384573.1307330388,-391792.2212418422,-399093.868887111,-406478.073668845,-413944.8355870445,-421494.1546417093,-429126.0308328393
Nusa Tenggara Barat,22,1169369.4559759037,1107958.8140963854,1022838.7160240964,1123315.3750361446,1153466.284626506,1110575.6424313253,1109052.224313253,1107563.6975686746,1106110.0621975902,1104691.3182,1103307.4655759037,1101958.5043253012,1100644.4344481928,1099365.2559445784,1098120.9688144578,1096911.5730578313,1095737.068674699,1094597.4556650603,1093492.7340289156,1092422.9037662651,1091387.9648771083,1090387.9173614455,1089422.761219277,1088492.4964506023,1087597.1230554215,1086736.641033735,1085911.0503855422,1085120.3511108437,1084364.5432096384,1083643.6266819276,1082957.601527711,1082306.467746988,1081690.225339759,1081108.8743060215,1080562.4146457808,1080050.8463590338,1079574.1694457808,1079132.3839060217,1078725.4897397568,1078353.4869469856,1078016.3755277083,1077714.1554819252,1077446.8268096363,1077214.389510841,1077016.8435855398,1076854.1890337323,1076726.4258554191,1076633.5540506,1076575.573619275,1076552.484561443,1076564.286877106,1076610.9805662627,1076692.5656289132,1076809.0420650577,1076960.4098746963,1077146.6690578288,1077367.819614455
Nusa Tenggara Timur,23,445276.7870365812,364370.7579169928,279408.61030519987,282481.6791837607,298636.7264296395,327099.55829002714,350547.3060356565,373998.5235385295,397453.2107986462,420911.3678160061,444372.9945906098,467838.09112245706,491306.65741154767,514778.6934578832,538254.1992614612,561733.1748222825,491174.21347368025,570357.2152156557,549718.0244926475,554038.719082443,558362.8834294821,562690.5175337647,567021.6213952907,571356.1950140605,575694.2383900735,580035.7515233303,584380.7344138306,588729.1870615743,593081.1094665616,597436.5016287924,601795.3635482669,606157.6952249848,610523.4966589464,614892.7678501513,619265.5087985988,623641.7195042907,628021.3999672264,632404.5501874057,636791.1701648284,641181.2598994947,645574.8193914045,649971.8486405578,654372.3476469547,658776.3164105951,663183.754931479,667594.6632096067,672009.0412449776,676426.8890375921,680848.2065874503,685272.993894552,689701.2509588972,694132.977780486,698568.1743593182,703006.8406953898,707448.9767887134,711894.5826392763,716343.6582470827
Papua,24,21054.08049162797,38981.35376497166,-107115.02864882111,16509.858351657633,-71501.44016191049,-83104.64100680576,-78754.17024746121,-74466.3367157348,-94774.42841163155,-115145.1573351462,-135578.5234862843,-156074.52686504315,-176633.16747141932,-197254.44530541945,-217938.3603670366,-238684.912656278,-259494.10217314115,-280365.9289176188,-301300.3928897225,-322297.4940894411,-343357.2325167867,-364479.6081717464,-385664.6210543336,-406912.27116454055,-428222.5585023628,-449595.4830678109,-471031.0448608741,-492529.2438815635,-514090.0801298752,-535713.5536057984,-557399.6643093515,-579148.4122405159,-600959.7973993102,-622833.8197857152,-644770.4793997509,-666769.7762414059,-688831.7103106743,-710956.2816075702,-733143.4901320785,-755393.335884216,-777705.8188639742,-800080.9390713449,-822518.6965063447,-845019.0911689565,-867582.1230591971,-890207.7921770504,-912896.098522532,-935647.042095637,-958460.6228963492,-981336.8409246956,-1004275.696180649,-1027277.1886642365,-1050341.3183754426,-1073468.08531426,-1096657.489480707,-1119909.5308747652,-1143224.209496454
Papua Barat,25,-51286.06715578541,-46417.743167420864,-67327.13175393242,-65826.44556561083,-67966.83802628746,-75344.00217647018,-79300.14356431793,-83179.32197004973,-90183.86939366497,-94976.56583516498,-99092.29929454908,-103131.06977181631,-107092.8772669686,-110977.72178000388,-115185.60331092436,-118957.52185972892,-122625.14409308312,-126222.63667765584,-129743.1662801127,-133186.7329004523,-136553.33653867734,-139842.97719478534,-143055.65486877854,-146191.3695606559,-149250.1212704158,-152231.90999806128,-155136.73574358926,-157964.598507003,-160715.49828830067,-163389.43508748084,-165986.40890454673,-168506.41973949678,-170949.4675923291,-173315.55246304735,-175604.67435164817,-177816.83325813455,-179952.02918250504,-182010.26212475763,-183991.5320848963,-185895.83906291693,-187723.18305882372,-189473.5640726147,-191146.9821042876,-192743.43715384664,-194262.929221289,-195705.45830661544,-197071.02440982583,-198359.62753092035,-199571.2676698989,-200705.9448267621,-201763.65900150884,-202744.4101941397,-203648.1984046546,-204475.0236330536,-205224.8858793366,-205897.7851435044,-206493.7214255556
